| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|  6531 | ....  ... ..  .. .... 0AA | 28C8 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6532 | ....  ... ..  .. .... 0F0 | 28C8  D#5 BF  21 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6533 | ....  ... ..  .. .... 136 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6534 | ....  ... ..  .. .... 17C | 1E8D (A#4 BA) 20 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6535 | ....  ... ..  .. .... 1C2 | 28C8 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6536 | ....  ... ..  .. .... 208 | 28C8  D#5 BF  21 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6537 | ....  ... ..  .. .... 24E | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6538 | ....  ... ..  .. .... 294 | 1E8D (A#4 BA) 20 .... ... | ....  ... ..  .. .... 8FB | .... .. ... . |
|  6539 | ....  ... ..  .. .... 2DA | 28C8 (D#5 BF) .. .... ... | ....  ... ..  .. .... 7F6 | .... .. ... . |
|  6540 | ....  ... ..  .. .... 320 | 28C8  D#5 BF  21 .... ... | ....  ... ..  .. .... 7F1 | .... .. ... . |
|  6541 | ....  ... ..  .. .... 366 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7EC | .... .. ... . |
|  6542 | ....  ... ..  .. .... 3AC | 1E8D (A#4 BA) 20 .... ... | ....  ... ..  .. .... 7E7 | .... .. ... . |
|  6543 | ....  ... ..  .. .... 3F2 | 28C8 (D#5 BF) .. .... ... | ....  ... ..  .. .... 7E2 | .... .. ... . |
|  6544 | ....  ... ..  .. .... 438 | 28C8  D#5 BF  21 .... ... | ....  ... ..  .. .... 7DD | .... .. ... . |
|  6545 | ....  ... ..  .. .... 47E | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7D8 | .... .. ... . |
|  6546 | ....  ... ..  .. .... 4C4 | 1E8D (A#4 BA) 20 .... ... | ....  ... ..  .. .... 7D3 | .... .. ... . |
|  6547 | ....  ... ..  .. .... 50A | 28C8 (D#5 BF) .. .... ... | ....  ... ..  .. .... 7CE | .... .. ... . |
|  6548 | ....  ... ..  .. .... 550 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7C9 | .... .. ... . |
|  6549 | ....  ... ..  .. .... 596 | 1E8D (A#4 BA) .. .... ... | ....  ... ..  .. .... 7C4 | .... .. ... . |
|  6550 | 1701 (+ 001E) .. .... 5DC | 28C8 (D#5 BF) .. .... ... | 0B90 (+ 001E) .. .... 7BF | .... .. ... . |
|  6551 | 171F (+ 001E) .. .... 5F5 | 2DC6 (F-5 C1) .. .... ... | 0BAE (+ 001E) .. .... 7BA | .... .. ... . |
|  6552 | 173D (+ 001E) .. .... 60E | 28C8  D#5 BF  21 .... ... | 0BCC (+ 001E) .. .... 7B5 | .... .. ... . |
|  6553 | 171F (- 001E) .. .... 627 | 2DC6 (F-5 C1) .. .... ... | 0BAE (- 001E) .. .... 7B0 | .... .. ... . |
|  6554 | 1701 (- 001E) .. .... 640 | 1E8D (A#4 BA) 20 .... ... | 0B90 (- 001E) .. .... 7AB | .... .. ... . |
|  6555 | 16E3 (- 001E) .. .... 659 | 28C8 (D#5 BF) .. .... ... | 0B72 (- 001E) .. .... 7A6 | .... .. ... . |
|  6556 | 16C5 (- 001E) .. .... 672 | 2DC6 (F-5 C1) .. .... ... | 0B54 (- 001E) .. .... 7A1 | .... .. ... . |
|  6557 | 16A7 (- 001E) .. .... 68B | 1E8D (A#4 BA) .. .... ... | 0B36 (E-3 A8) .. .... 79C | .... .. ... . |
|  6558 | 1689 (E-4 B4) .. .... 6A4 | 28C8 (D#5 BF) .. .... ... | 0B18 (- 001E) .. .... 797 | .... .. ... . |
|  6559 | 16A7 (F-4 B5) .. .... 6BD | 2DC6 (F-5 C1) .. .... ... | 0B36 (+ 001E) .. .... 792 | .... .. ... . |
|  6560 | 16C5 (+ 001E) .. .... 6D6 | 28C8  D#5 BF  21 .... ... | 0B54 (F-3 A9) .. .... 78D | .... .. ... . |
|  6561 | 16E3 (+ 001E) .. .... 6EF | 2DC6 (F-5 C1) .. .... ... | 0B72 (+ 001E) .. .... 788 | .... .. ... . |
|  6562 | 1701 (+ 001E) .. .... 708 | 1E8D (A#4 BA) 20 .... ... | 0B90 (+ 001E) .. .... 783 | .... .. ... . |
|  6563 | 171F (+ 001E) .. .... 721 | 28C8 (D#5 BF) .. .... ... | 0BAE (+ 001E) .. .... 77E | .... .. ... . |
|  6564 | 173D (+ 001E) .. .... 73A | 2DC6 (F-5 C1) .. .... ... | 0BCC (+ 001E) .. .... 779 | .... .. ... . |
|  6565 | 171F (- 001E) .. .... 753 | 1E8D (A#4 BA) .. .... ... | 0BAE (- 001E) .. .... 774 | .... .. ... . |
|  6566 | 1701 (- 001E) .. .... 76C | 28C8 (D#5 BF) .. .... ... | 0B90 (- 001E) .. .... 76F | .... .. ... . |
|  6567 | 16E3 (- 001E) .. .... 785 | 2DC6 (F-5 C1) .. .... ... | 0B72 (- 001E) .. .... 76A | .... .. ... . |
|  6568 | 16C5 (- 001E) .. .... 79E | 1E8D (A#4 BA) .. .... ... | 0B54 (- 001E) .. .... 765 | .... .. ... . |
|  6569 | 16A7 (- 001E) .. .... 7B7 | 28C8 (D#5 BF) .. .... ... | 0B36 (E-3 A8) .. .... 760 | .... .. ... . |
|  6570 | 1689 (E-4 B4) .. .... 7D0 | 2DC6 (F-5 C1) .. .... ... | 0B18 (- 001E) .. .... 75B | .... .. ... . |
|  6571 | 16A7 (F-4 B5) .. .... 7E9 | 1E8D (A#4 BA) .. .... ... | 0B36 (+ 001E) .. .... 756 | .... .. ... . |
|  6572 | 16C5 (+ 001E) .. .... 802 | 28C8 (D#5 BF) .. .... ... | 0B54 (F-3 A9) .. .... 751 | .... .. ... . |
|  6573 | 16E3 (+ 001E) .. .... 81B | 2DC6 (F-5 C1) .. .... ... | 0B72 (+ 001E) .. .... 74C | .... .. ... . |
|  6574 | 1701 (+ 001E) .. .... 834 | 1E8D (A#4 BA) .. .... ... | 0B90 (+ 001E) .. .... 747 | .... .. ... . |
|  6575 | 171F (+ 001E) .. .... 84D | 28C8 (D#5 BF) .. .... ... | 0BAE (+ 001E) .. .... 742 | .... .. ... . |
|  6576 | 173D (+ 001E) .. .... 866 | 28C8  D#5 BF  21 .... ... | 0BCC (+ 001E) .. .... 73D | .... .. ... . |
|  6577 | 171F (- 001E) .. .... 87F | 2DC6 (F-5 C1) .. .... ... | 0BAE (- 001E) .. .... 738 | .... .. ... . |
|  6578 | 1701 (- 001E) .. .... 898 | 1E8D (A#4 BA) 20 .... ... | 0B90 (- 001E) .. .... 733 | .... .. ... . |
|  6579 | 16E3 (- 001E) .. .... 8B1 | 28C8 (D#5 BF) .. .... ... | 0B72 (- 001E) .. .... 72E | .... .. ... . |
|  6580 | 16C5 (- 001E) .. .... 8CA | 2DC6 (F-5 C1) .. .... ... | 0B54 (- 001E) .. .... 729 | .... .. ... . |
|  6581 | 16A7 (- 001E) .. .... 8E3 | 1E8D (A#4 BA) .. .... ... | 0B36 (E-3 A8) .. .... 724 | .... .. ... . |
|  6582 | 1689 (E-4 B4) .. .... 8FC | 28C8 (D#5 BF) .. .... ... | 0B18 (- 001E) .. .... 71F | .... .. ... . |
|  6583 | 16A7 (F-4 B5) .. .... 915 | 2DC6 (F-5 C1) .. .... ... | 0B36 (+ 001E) .. .... 71A | .... .. ... . |
|  6584 | 16C5 (+ 001E) .. .... 92E | 28C8  D#5 BF  21 .... ... | 0B54 (F-3 A9) .. .... 715 | .... .. ... . |
|  6585 | 16E3 (+ 001E) .. .... 947 | 2DC6 (F-5 C1) .. .... ... | 0B72 (+ 001E) .. .... 710 | .... .. ... . |
|  6586 | 1701 (+ 001E) .. .... 960 | 1E8D (A#4 BA) 20 .... ... | 0B90 (+ 001E) .. .... 70B | .... .. ... . |
|  6587 | 171F (+ 001E) .. .... 979 | 28C8 (D#5 BF) .. .... ... | 0BAE (+ 001E) .. .... 706 | .... .. ... . |
|  6588 | 173D (+ 001E) .. .... 992 | 2DC6 (F-5 C1) .. .... ... | 0BCC (+ 001E) .. .... 70B | .... .. ... . |
|  6589 | 171F (- 001E) .. .... 9AB | 1E8D (A#4 BA) .. .... ... | 0BAE (- 001E) .. .... 710 | .... .. ... . |
|  6590 | 1701 (- 001E) .. .... 9C4 | 28C8 (D#5 BF) .. .... ... | 0B90 (- 001E) .. .... 715 | .... .. ... . |
|  6591 | 16E3 (- 001E) .. .... 9DD | 2DC6 (F-5 C1) .. .... ... | 0B72 (- 001E) .. .... 71A | .... .. ... . |
|  6592 | 16C5 (- 001E) .. .... 9F6 | 267E  D-5 BE  21 .... ... | 0B54 (- 001E) .. .... 71F | .... .. ... . |
|  6593 | 16A7 (- 001E) .. .... A0F | 2DC6 (F-5 C1) .. .... ... | 0B36 (E-3 A8) .. .... 724 | .... .. ... . |
|  6594 | 1689 (E-4 B4) .. .... A28 | 1E8D (A#4 BA) 20 .... ... | 0B18 (- 001E) .. .... 729 | .... .. ... . |
|  6595 | 16A7 (F-4 B5) .. .... A41 | 267E (D-5 BE) .. .... ... | 0B36 (+ 001E) .. .... 72E | .... .. ... . |
|  6596 | 16C5 (+ 001E) .. .... A5A | 2DC6 (F-5 C1) .. .... ... | 0B54 (F-3 A9) .. .... 733 | .... .. ... . |
|  6597 | 16E3 (+ 001E) .. .... A73 | 1E8D (A#4 BA) .. .... ... | 0B72 (+ 001E) .. .... 738 | .... .. ... . |
|  6598 | 1701 (+ 001E) .. .... A8C | 267E (D-5 BE) .. .... ... | 0B90 (+ 001E) .. .... 73D | .... .. ... . |
|  6599 | 171F (+ 001E) .. .... AA5 | 2DC6 (F-5 C1) .. .... ... | 0BAE (+ 001E) .. .... 742 | .... .. ... . |
|  6600 | 173D (+ 001E) .. .... ABE | 267E  D-5 BE  21 .... ... | 0BCC (+ 001E) .. .... 747 | .... .. ... . |
|  6601 | 171F (- 001E) .. .... AD7 | 2DC6 (F-5 C1) .. .... ... | 0BAE (- 001E) .. .... 74C | .... .. ... . |
|  6602 | 1701 (- 001E) .. .... AF0 | 1E8D (A#4 BA) 20 .... ... | 0B90 (- 001E) .. .... 751 | .... .. ... . |
|  6603 | 16E3 (- 001E) .. .... B09 | 267E (D-5 BE) .. .... ... | 0B72 (- 001E) 40 .... 756 | .... .. ... . |
|  6604 | 16C5 (- 001E) .. .... B22 | 2DC6 (F-5 C1) .. .... ... | 0B54 (- 001E) .. .... 75B | .... .. ... . |
|  6605 | 16A7 (- 001E) .. .... B3B | 1E8D (A#4 BA) .. .... ... | 0B36 (E-3 A8) .. .... 760 | .... .. ... . |
|  6606 | 1689 (E-4 B4) .. .... B54 | 267E (D-5 BE) .. .... ... | 0B18 (- 001E) .. .... 765 | .... .. ... . |
|  6607 | 16A7 (F-4 B5) .. .... B6D | 2DC6 (F-5 C1) .. .... ... | 0B36 (+ 001E) .. .... 76A | .... .. ... . |
|  6608 | 16C5 (+ 001E) .. .... B86 | 1E8D (A#4 BA) .. .... ... | 0CD8  G-3 AB  41 .... 800 | .... .. ... . |
|  6609 | 16E3 (+ 001E) .. .... B9F | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6610 | 1701 (+ 001E) .. .... BB8 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6611 | 171F (+ 001E) .. .... BD1 | 1E8D (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6612 | 173D (+ 001E) .. .... BEA | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6613 | 171F (- 001E) .. .... C03 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6614 | 1701 (- 001E) .. .... C1C | 1E8D (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6615 | 16E3 (- 001E) .. .... C35 | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6616 | 16C5 (- 001E) .. .... C4E | 267E  D-5 BE  21 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6617 | 16A7 (- 001E) .. .... C67 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6618 | 1689 (E-4 B4) .. .... C80 | 1E8D (A#4 BA) 20 .... ... | ....  ... ..  .. .... 8FB | .... .. ... . |
|  6619 | 16A7 (F-4 B5) 40 .... C99 | 267E (D-5 BE) .. .... ... | ....  ... ..  40 .... 7F6 | .... .. ... . |
|  6620 | 16C5 (+ 001E) .. .... CB2 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7F1 | .... .. ... . |
|  6621 | 16E3 (+ 001E) .. .... CCB | 1E8D (A#4 BA) .. .... ... | ....  ... ..  .. .... 7EC | .... .. ... . |
|  6622 | 1701 (+ 001E) .. .... CE4 | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... 7E7 | .... .. ... . |
|  6623 | 171F (+ 001E) .. .... CFD | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7E2 | .... .. ... . |
|  6624 | 267E  D-5 BE  41 .... 064 | 1E8D (A#4 BA) .. .... ... | 0E6B  A-3 AD  41 .... 800 | .... .. ... . |
|  6625 | ....  ... ..  .. .... ... | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6626 | ....  ... ..  .. .... ... | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6627 | ....  ... ..  .. .... 0AA | 1E8D (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6628 | ....  ... ..  .. .... 0F0 | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6629 | ....  ... ..  .. .... 136 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6630 | ....  ... ..  .. .... 17C | 1E8D (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6631 | ....  ... ..  .. .... 1C2 | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6632 | ....  ... ..  .. .... 208 | 267E  D-5 BE  21 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6633 | ....  ... ..  .. .... 24E | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6634 | ....  ... ..  .. .... 294 | 1E8D (A#4 BA) 20 .... ... | ....  ... ..  .. .... 8FB | .... .. ... . |
|  6635 | ....  ... ..  .. .... 2DA | 267E (D-5 BE) .. .... ... | ....  ... ..  40 .... 7F6 | .... .. ... . |
|  6636 | ....  ... ..  .. .... 320 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7F1 | .... .. ... . |
|  6637 | ....  ... ..  .. .... 366 | 1E8D (A#4 BA) .. .... ... | ....  ... ..  .. .... 7EC | .... .. ... . |
|  6638 | ....  ... ..  .. .... 3AC | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... 7E7 | .... .. ... . |
|  6639 | ....  ... ..  .. .... 3F2 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7E2 | .... .. ... . |
|  6640 | ....  ... ..  .. .... 438 | 267E  D-5 BE  21 .... ... | 0F46  A#3 AE  41 .... 800 | .... .. ... . |
|  6641 | ....  ... ..  .. .... 47E | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6642 | ....  ... ..  .. .... 4C4 | 1E8D (A#4 BA) 20 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6643 | ....  ... ..  .. .... 50A | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6644 | ....  ... ..  .. .... 550 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6645 | ....  ... ..  .. .... 596 | 1E8D (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6646 | 269C (+ 001E) .. .... 5DC | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6647 | 26BA (+ 001E) .. .... 5F5 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6648 | 26D8 (+ 001E) .. .... 60E | 1E8D (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6649 | 26BA (- 001E) .. .... 627 | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6650 | 269C (- 001E) .. .... 640 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 8FB | .... .. ... . |
|  6651 | 267E (- 001E) 40 .... 659 | 1E8D (A#4 BA) .. .... ... | ....  ... ..  40 .... 7F6 | .... .. ... . |
|  6652 | 2660 (- 001E) .. .... 672 | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... 7F1 | .... .. ... . |
|  6653 | 2642 (- 001E) .. .... 68B | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7EC | .... .. ... . |
|  6654 | 2624 (- 001E) .. .... 6A4 | 1E8D (A#4 BA) .. .... ... | ....  ... ..  .. .... 7E7 | .... .. ... . |
|  6655 | 2642 (+ 001E) .. .... 6BD | 267E (D-5 BE) .. .... ... | ....  ... ..  .. .... 7E2 | .... .. ... . |
|  6656 | 224B  C-5 BC  41 .... 064 | 224B  C-5 BC  21 .... ... | 0E6B  A-3 AD  41 .... 800 | .... .. ... . |
|  6657 | ....  ... ..  .. .... ... | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6658 | ....  ... ..  .. .... ... | 1CD6 (A-4 B9) 20 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6659 | ....  ... ..  .. .... 0AA | 224B (C-5 BC) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6660 | ....  ... ..  .. .... 0F0 | 224B  C-5 BC  21 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6661 | ....  ... ..  .. .... 136 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6662 | ....  ... ..  .. .... 17C | 1CD6 (A-4 B9) 20 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6663 | ....  ... ..  .. .... 1C2 | 224B (C-5 BC) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6664 | ....  ... ..  .. .... 208 | 224B  C-5 BC  21 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6665 | ....  ... ..  .. .... 24E | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|  6666 | ....  ... ..  .. .... 294 | 1CD6 (A-4 B9) 20 .... ... | ....  ... ..  .. .... 8FB | .... .. ... . |
|  6667 | ....  ... ..  .. .... 2DA | 224B (C-5 BC) .. .... ... | ....  ... ..  .. .... 7F6 | .... .. ... . |
|  6668 | ....  ... ..  .. .... 320 | 224B  C-5 BC  21 .... ... | ....  ... ..  .. .... 7F1 | .... .. ... . |
|  6669 | ....  ... ..  .. .... 366 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7EC | .... .. ... . |
|  6670 | ....  ... ..  .. .... 3AC | 1CD6 (A-4 B9) 20 .... ... | ....  ... ..  .. .... 7E7 | .... .. ... . |
|  6671 | ....  ... ..  .. .... 3F2 | 224B (C-5 BC) .. .... ... | ....  ... ..  .. .... 7E2 | .... .. ... . |
|  6672 | ....  ... ..  .. .... 438 | 224B  C-5 BC  21 .... ... | ....  ... ..  .. .... 7DD | .... .. ... . |
|  6673 | ....  ... ..  .. .... 47E | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7D8 | .... .. ... . |
|  6674 | ....  ... ..  .. .... 4C4 | 1CD6 (A-4 B9) 20 .... ... | ....  ... ..  .. .... 7D3 | .... .. ... . |
|  6675 | ....  ... ..  .. .... 50A | 224B (C-5 BC) .. .... ... | ....  ... ..  .. .... 7CE | .... .. ... . |
|  6676 | ....  ... ..  .. .... 550 | 2DC6 (F-5 C1) .. .... ... | ....  ... ..  .. .... 7C9 | .... .. ... . |
|  6677 | ....  ... ..  .. .... 596 | 1CD6 (A-4 B9) .. .... ... | ....  ... ..  .. .... 7C4 | .... .. ... . |
|  6678 | 2269 (+ 001E) .. .... 5DC | 224B (C-5 BC) .. .... ... | 0E89 (+ 001E) .. .... 7BF | .... .. ... . |
|  6679 | 2287 (+ 001E) .. .... 5F5 | 2DC6 (F-5 C1) .. .... ... | 0EA7 (+ 001E) .. .... 7BA | .... .. ... . |
|  6680 | 22A5 (+ 001E) .. .... 60E | 224B  C-5 BC  21 .... ... | 0EC5 (+ 001E) .. .... 7B5 | .... .. ... . |
|  6681 | 2287 (- 001E) .. .... 627 | 2DC6 (F-5 C1) .. .... ... | 0EA7 (- 001E) .. .... 7B0 | .... .. ... . |
|  6682 | 2269 (- 001E) .. .... 640 | 1CD6 (A-4 B9) 20 .... ... | 0E89 (- 001E) .. .... 7AB | .... .. ... . |
|  6683 | 224B (- 001E) .. .... 659 | 224B (C-5 BC) .. .... ... | 0E6B (- 001E) .. .... 7A6 | .... .. ... . |
|  6684 | 222D (- 001E) .. .... 672 | 2DC6 (F-5 C1) .. .... ... | 0E4D (- 001E) .. .... 7A1 | .... .. ... . |
|  6685 | 220F (- 001E) .. .... 68B | 1CD6 (A-4 B9) .. .... ... | 0E2F (G#3 AC) .. .... 79C | .... .. ... . |
|  6686 | 21F1 (- 001E) .. .... 6A4 | 224B (C-5 BC) .. .... ... | 0E11 (- 001E) .. .... 797 | .... .. ... . |
|  6687 | 220F (+ 001E) .. .... 6BD | 2DC6 (F-5 C1) .. .... ... | 0E2F (+ 001E) .. .... 792 | .... .. ... . |
|  6688 | 222D (+ 001E) .. .... 6D6 | 224B  C-5 BC  21 .... ... | 0E4D (A-3 AD) .. .... 78D | .... .. ... . |
|  6689 | 224B (+ 001E) .. .... 6EF | 2DC6 (F-5 C1) .. .... ... | 0E6B (+ 001E) .. .... 788 | .... .. ... . |
|  6690 | 2269 (+ 001E) .. .... 708 | 1CD6 (A-4 B9) 20 .... ... | 0E89 (+ 001E) .. .... 783 | .... .. ... . |
|  6691 | 2287 (+ 001E) .. .... 721 | 224B (C-5 BC) .. .... ... | 0EA7 (+ 001E) .. .... 77E | .... .. ... . |
|  6692 | 22A5 (+ 001E) .. .... 73A | 2DC6 (F-5 C1) .. .... ... | 0EC5 (+ 001E) .. .... 779 | .... .. ... . |
|  6693 | 2287 (- 001E) .. .... 753 | 1CD6 (A-4 B9) .. .... ... | 0EA7 (- 001E) .. .... 774 | .... .. ... . |
|  6694 | 2269 (- 001E) .. .... 76C | 224B (C-5 BC) .. .... ... | 0E89 (- 001E) .. .... 76F | .... .. ... . |
|  6695 | 224B (- 001E) .. .... 785 | 2DC6 (F-5 C1) .. .... ... | 0E6B (- 001E) .. .... 76A | .... .. ... . |
|  6696 | 222D (- 001E) .. .... 79E | 1CD6 (A-4 B9) .. .... ... | 0E4D (- 001E) .. .... 765 | .... .. ... . |
|  6697 | 220F (- 001E) .. .... 7B7 | 224B (C-5 BC) .. .... ... | 0E2F (G#3 AC) .. .... 760 | .... .. ... . |
|  6698 | 21F1 (- 001E) .. .... 7D0 | 2DC6 (F-5 C1) .. .... ... | 0E11 (- 001E) .. .... 75B | .... .. ... . |
|  6699 | 220F (+ 001E) 40 .... 7E9 | 1CD6 (A-4 B9) .. .... ... | 0E2F (+ 001E) .. .... 756 | .... .. ... . |
|  6700 | 222D (+ 001E) .. .... 802 | 224B (C-5 BC) .. .... ... | 0E4D (A-3 AD) .. .... 751 | .... .. ... . |
|  6701 | 224B (+ 001E) .. .... 81B | 2DC6 (F-5 C1) .. .... ... | 0E6B (+ 001E) .. .... 74C | .... .. ... . |
|  6702 | 2269 (+ 001E) .. .... 834 | 1CD6 (A-4 B9) .. .... ... | 0E89 (+ 001E) .. .... 747 | .... .. ... . |
|  6703 | 2287 (+ 001E) .. .... 84D | 224B (C-5 BC) .. .... ... | 0EA7 (+ 001E) .. .... 742 | .... .. ... . |
|  6704 | 1E8D  A#4 BA  41 .... 064 | 224B  C-5 BC  21 .... ... | 0EC5 (+ 001E) .. .... 73D | .... .. ... . |
|  6705 | ....  ... ..  .. .... ... | 2DC6 (F-5 C1) .. .... ... | 0EA7 (- 001E) .. .... 738 | .... .. ... . |
|  6706 | ....  ... ..  .. .... ... | 1CD6 (A-4 B9) 20 .... ... | 0E89 (- 001E) .. .... 733 | .... .. ... . |
|  6707 | ....  ... ..  .. .... 0AA | 224B (C-5 BC) .. .... ... | 0E6B (- 001E) .. .... 72E | .... .. ... . |
|  6708 | ....  ... ..  .. .... 0F0 | 2DC6 (F-5 C1) .. .... ... | 0E4D (- 001E) .. .... 729 | .... .. ... . |
|  6709 | ....  ... ..  .. .... 136 | 1CD6 (A-4 B9) .. .... ... | 0E2F (G#3 AC) .. .... 724 | .... .. ... . |
|  6710 | ....  ... ..  .. .... 17C | 224B (C-5 BC) .. .... ... | 0E11 (- 001E) .. .... 71F | .... .. ... . |
|  6711 | ....  ... ..  .. .... 1C2 | 2DC6 (F-5 C1) .. .... ... | 0E2F (+ 001E) .. .... 71A | .... .. ... . |
|  6712 | ....  ... ..  .. .... 208 | 224B  C-5 BC  21 .... ... | 0E4D (A-3 AD) .. .... 715 | .... .. ... . |
|  6713 | ....  ... ..  .. .... 24E | 2DC6 (F-5 C1) .. .... ... | 0E6B (+ 001E) .. .... 710 | .... .. ... . |
|  6714 | ....  ... ..  .. .... 294 | 1CD6 (A-4 B9) 20 .... ... | 0E89 (+ 001E) .. .... 70B | .... .. ... . |
|  6715 | ....  ... ..  40 .... 2DA | 224B (C-5 BC) .. .... ... | 0EA7 (+ 001E) .. .... 706 | .... .. ... . |
|  6716 | ....  ... ..  .. .... 320 | 2DC6 (F-5 C1) .. .... ... | 0EC5 (+ 001E) .. .... 70B | .... .. ... . |
|  6717 | ....  ... ..  .. .... 366 | 1CD6 (A-4 B9) .. .... ... | 0EA7 (- 001E) .. .... 710 | .... .. ... . |
|  6718 | ....  ... ..  .. .... 3AC | 224B (C-5 BC) .. .... ... | 0E89 (- 001E) .. .... 715 | .... .. ... . |
|  6719 | ....  ... ..  .. .... 3F2 | 2DC6 (F-5 C1) .. .... ... | 0E6B (- 001E) .. .... 71A | .... .. ... . |
|  6720 | 1CD6  A-4 B9  41 .... 064 | 224B  C-5 BC  21 .... ... | 0E4D (- 001E) .. .... 71F | .... .. ... . |
|  6721 | ....  ... ..  .. .... ... | 2DC6 (F-5 C1) .. .... ... | 0E2F (G#3 AC) .. .... 724 | .... .. ... . |
|  6722 | ....  ... ..  .. .... ... | 1CD6 (A-4 B9) 20 .... ... | 0E11 (- 001E) .. .... 729 | .... .. ... . |
|  6723 | ....  ... ..  .. .... 0AA | 224B (C-5 BC) .. .... ... | 0E2F (+ 001E) .. .... 72E | .... .. ... . |
|  6724 | ....  ... ..  .. .... 0F0 | 2DC6 (F-5 C1) .. .... ... | 0E4D (A-3 AD) .. .... 733 | .... .. ... . |
